wo_number,work_dept,work_code,est_hrs,actual_hrs,hrs_variance,est_cost,job_cost,cost_variance,description,source_tier,source_file
10000.3,0099,0099,1.0,1.0,40.53,40.53,,,PERMIT RECEIVED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10001.1,0200,0280,3.75,3.75,114.36,114.36,,,CRATING & SHIPPING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10001.1,0200,9200,1.5,1.5,55.97,55.97,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0100,0110,4.0,0.0,-4.0,169.84,0.0,-169.84,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,0200,9.75,0.0,-9.75,413.99,0.0,-413.99,FABRICATION LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,0210,39.25,2.5,-36.75,1666.56,94.09,-1572.47,SHEET METAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,0215,112.25,83.25,-29.0,4766.14,2885.62,-1880.52,STRUCTURAL STEEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,0220,28.0,26.75,-1.25,1188.88,800.26,-388.62,EXTRUSIONS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,0235,7.25,2.25,-5.0,307.84,65.14,-242.7,ROUTING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,0260,5.5,2.25,-3.25,233.53,65.14,-168.39,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,0270,43.5,44.75,1.25,1847.01,1633.3,-213.71,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,0280,6.75,14.75,8.0,286.61,518.5,231.89,CRATING & SHIPPING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,0282,4.0,0.0,-4.0,169.84,0.0,-169.84,CHECK IN FREIGHT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0200,9200,24.25,24.25,846.0,846.0,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0300,0310,11.25,0.0,-11.25,477.68,0.0,-477.68,BALLAST WIRING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0300,0340,11.0,15.25,4.25,467.06,507.11,40.05,ELECTRICAL WIRING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0300,9300,4.75,4.75,153.92,153.92,,,ELECTRICAL OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0400,0410,11.0,25.0,14.0,467.06,940.99,473.93,CLEAN AND ETCH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0400,0420,19.25,23.75,4.5,817.36,893.9,76.54,PRIME AND FINISH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0400,9400,9.0,9.0,338.76,338.76,,,PAINT DEPT OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0500,0520,2.0,0.5,-1.5,84.92,19.55,-65.37,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0500,0550,3.25,1.25,-2.0,138.0,48.25,-89.75,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,0600,0610,3.5,0.0,-3.5,200.2,0.0,-200.2,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.1,5200,5200,2.0,1.0,-1.0,57.9,37.15,-20.75,CLEAN & MAINTAIN SHOP,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.2,0200,0220,4.25,4.25,127.15,127.15,,,EXTRUSIONS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.2,0200,0270,1.5,1.5,44.87,44.87,,,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.2,0200,9200,2.0,2.0,59.83,59.83,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.2,5300,5320,1.0,0.0,-1.0,42.46,0.0,-42.46,ADMINSTRATIVE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10002.3,0200,0280,0.5,0.5,18.82,18.82,,,CRATING & SHIPPING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10003.1,0600,0630,6.5,6.5,348.58,348.58,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10004.1,0200,0282,1.0,0.0,-1.0,42.46,0.0,-42.46,CHECK IN FREIGHT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10004.1,0600,0610,1.0,0.0,-1.0,57.2,0.0,-57.2,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10004.1,0600,0630,8.0,4.25,-3.75,457.6,227.91,-229.69,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10004.1,5200,5200,0.25,0.25,9.05,9.05,,,CLEAN & MAINTAIN SHOP,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10005.1,0100,0110,1.0,0.75,-0.25,42.46,29.68,-12.78,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10005.1,0200,0282,0.5,0.0,-0.5,21.23,0.0,-21.23,CHECK IN FREIGHT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10005.1,0500,0510,0.25,0.0,-0.25,10.62,0.0,-10.62,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10005.1,0500,0520,0.5,0.75,0.25,21.23,29.2,7.97,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10005.1,0600,0610,1.0,1.25,0.25,57.2,62.93,5.73,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10005.1,0600,0620,1.0,1.5,0.5,56.7,75.6,18.9,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10005.1,0600,0630,3.0,8.25,5.25,171.6,418.28,246.68,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0200,0200,2.0,1.25,-0.75,84.92,36.19,-48.73,FABRICATION LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0200,0235,6.0,3.75,-2.25,254.76,108.57,-146.19,ROUTING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0200,0260,4.0,1.5,-2.5,169.84,43.43,-126.41,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0200,0270,0.5,0.5,14.48,14.48,,,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0200,9200,1.0,1.0,28.95,28.95,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0400,0410,2.0,1.75,-0.25,84.92,65.87,-19.05,CLEAN AND ETCH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0400,0420,2.5,2.0,-0.5,106.15,75.27,-30.88,PRIME AND FINISH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0500,0510,1.0,0.0,-1.0,42.46,0.0,-42.46,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0500,0520,1.5,0.75,-0.75,63.69,28.95,-34.74,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0500,0550,2.0,3.75,1.75,84.92,144.75,59.83,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0600,0610,1.0,3.5,2.5,57.2,178.75,121.55,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0600,0620,1.0,1.5,0.5,56.7,73.5,16.8,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0600,0625,1.5,1.5,79.37,79.37,,,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0600,0630,18.25,18.25,922.73,922.73,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0600,0640,3.0,0.0,-3.0,343.2,0.0,-343.2,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.1,0600,0815,1.5,0.5,-1.0,85.8,21.45,-64.35,SURVEY,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10006.2,0099,0099,1.0,1.0,40.53,40.53,,,PERMIT RECEIVED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.1,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.1,0200,0250,4.0,2.0,-2.0,169.84,77.2,-92.64,AWNINGS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.1,0600,0610,3.0,0.75,-2.25,171.6,37.55,-134.05,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.1,0600,0620,10.0,2.25,-7.75,567.0,114.46,-452.54,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.1,0600,0625,6.0,3.0,-3.0,343.2,158.73,-184.47,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.1,0600,0630,3.5,3.5,176.61,176.61,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.1,0600,0640,8.0,0.0,-8.0,915.2,0.0,-915.2,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.1,0600,9600,1.75,1.75,88.32,88.32,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.2,0099,0098,1.75,1.75,70.93,70.93,,,PERMIT SUBMITTED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.2,0600,0620,0.5,0.5,25.9,25.9,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.2,0600,0630,2.5,2.5,132.28,132.28,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.2,0600,9600,0.75,0.75,39.7,39.7,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.3,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.3,0200,0250,7.75,7.75,299.15,299.15,,,AWNINGS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.3,0200,0260,0.75,0.75,28.95,28.95,,,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.3,0200,0270,6.5,6.5,250.9,250.9,,,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.3,0200,9200,0.25,0.25,9.65,9.65,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.3,0400,0430,4.0,0.0,-4.0,169.84,0.0,-169.84,SPRAY PAINTING FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.3,0500,0510,4.0,0.0,-4.0,169.84,0.0,-169.84,LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.3,0500,0520,0.5,0.5,19.78,19.78,,,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.4,0500,0520,0.25,0.25,9.9,9.9,,,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.4,0600,0610,0.5,0.5,24.31,24.31,,,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.4,0600,0620,2.75,2.75,135.1,135.1,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.4,0600,0625,1.5,1.5,79.37,79.37,,,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.4,0600,0630,10.0,10.0,498.02,498.02,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10008.4,0600,9600,0.5,0.5,24.31,24.31,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.1,0099,0098,0.75,0.75,30.4,30.4,,,PERMIT SUBMITTED,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.2,5300,5320,1.0,0.0,-1.0,42.46,0.0,-42.46,ADMINSTRATIVE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.3,5300,5320,1.0,0.0,-1.0,42.46,0.0,-42.46,ADMINSTRATIVE,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0100,0110,1.0,0.0,-1.0,42.46,0.0,-42.46,SKETCHING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0200,0200,2.0,0.0,-2.0,84.92,0.0,-84.92,FABRICATION LAYOUT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0200,0210,3.0,0.0,-3.0,127.38,0.0,-127.38,SHEET METAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0200,0215,13.25,0.0,-13.25,562.6,0.0,-562.6,STRUCTURAL STEEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0200,0220,12.25,12.25,366.47,366.47,,,EXTRUSIONS,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0200,0270,4.0,0.0,-4.0,169.84,0.0,-169.84,MISC FABRICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0200,9200,1.25,1.25,37.41,37.41,,,FABRICATION OVERTIME,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0300,0340,0.25,0.25,7.49,7.49,,,ELECTRICAL WIRING,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0400,0420,1.0,0.0,-1.0,42.46,0.0,-42.46,PRIME AND FINISH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0600,0605,2.5,2.5,126.93,126.93,,,FOOTING - INSTALLATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0600,0610,2.0,6.25,4.25,114.4,317.33,202.93,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0600,0615,2.0,0.0,-2.0,114.4,0.0,-114.4,WIRING - INSTALLATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0600,0620,5.0,9.75,4.75,283.5,473.09,189.59,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0600,0630,12.5,12.5,621.17,621.17,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0600,0640,10.0,0.0,-10.0,1144.0,0.0,-1144.0,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10009.4,0600,9600,0.25,0.25,13.76,13.76,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
1001.1,0200,0260,5.25,5.25,219.72,219.72,,,FACES,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10010.1,0200,0282,0.5,0.0,-0.5,21.23,0.0,-21.23,CHECK IN FREIGHT,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10010.1,0600,0610,0.5,0.5,0.0,28.6,26.46,-2.14,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10010.1,0600,0620,0.25,0.25,11.9,11.9,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10010.1,0600,0630,7.25,7.25,367.52,367.52,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10010.1,0600,0640,1.5,0.0,-1.5,171.6,0.0,-171.6,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10010.1,0600,9600,1.5,1.5,75.09,75.09,1.0,,MAN,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10011.2,0600,0630,3.0,3.0,160.88,160.88,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10012.1,0500,0520,0.5,0.25,-0.25,21.23,9.65,-11.58,CUT AND/OR WEED VINYL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10012.1,0500,0550,0.25,0.25,9.65,9.65,,,VINYL APPLICATION,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10012.1,0600,0610,1.0,0.25,-0.75,57.2,12.16,-45.04,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10012.1,0600,0620,1.0,0.25,-0.75,56.7,11.9,-44.8,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10012.1,0600,0625,1.0,0.0,-1.0,57.2,0.0,-57.2,REMOVAL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10012.1,0600,0630,5.25,5.25,268.13,268.13,1.0,,MAN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10012.1,0600,0640,2.0,0.0,-2.0,228.8,0.0,-228.8,MEN & TRUCK INSTALL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10012.1,0600,0815,1.0,0.0,-1.0,57.2,0.0,-57.2,SURVEY,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10013.1,0400,0410,0.5,0.5,18.82,18.82,,,CLEAN AND ETCH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10013.1,0400,0420,0.5,0.5,18.82,18.82,,,PRIME AND FINISH,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10014.1,0600,0610,1.5,1.5,75.08,75.08,,,LOAD/UNLOAD,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
10014.1,0600,0620,1.5,1.5,75.6,75.6,,,TRAVEL,3,C:\Scripts\keyedin-capture\reports\cost_detail\cost_detail_batch_001.html
