linkToSalesperson_assoc_name,zip,phone,custNo,@ID,address,name,state,address_2,customer,linkToPymtTerms_assoc_desc,taxCode,contact,city,desc
,50315,287-6510,2733,2733,6101 SW 9TH ST.,6101 INVESTMENT,IA,SUITE 500,"6101 INVESTMENT; 6101 SW 9TH ST.; SUITE 500; DES MOINES, IA 50315",NET 30 DAYS,,George Timmons,DES MOINES,
Joe Phillips,50266,,2931,2931,5535 MILLS CIVIC PARKWAY,515 ULTRA LOUNGE,IA,WEST GLEN TC AVENUE OF THE ARTS STE. 100,"515 ULTRA LOUNGE; 5535 MILLS CIVIC PARKWAY; WEST GLEN TC AVENUE OF THE ARTS STE. 100; WEST DES MOINES, IA 50266",NET 30 DAYS,,Mitch Johnson,WEST DES MOINES,
Jeff Fye,50265,,5547,5547,265 50TH ST.,50TH STREET TAP,IA,,"50TH STREET TAP; 265 50TH ST.; WEST DES MOINES, IA 50265",NET 30 DAYS,,Marc Mundt,WEST DES MOINES,
Kent Reed,50211,515-6647-5358,3651,3651,1611 SUNSET DR.,50211 SALON SPA,IA,SUITE 300,"50211 SALON SPA; 1611 SUNSET DR.; SUITE 300; NORWALK, IA 50211",NET 30 DAYS,,Paul Adair,NORWALK,
,50315,515-287-3007,2220,2220,1400 SW ARMY POST RD.,5 STAR MUFFLER,IA,,"5 STAR MUFFLER; 1400 SW ARMY POST RD.; DES MOINES, IA 50315",1% 10th of month net eom,,Tom Kraft,DES MOINES,
Kent Reed,50325,(845) 863-3571,4802,4802,#300,5 BOROUGH BAGELS,IA,13435 UNIVERSITY AVE,"5 BOROUGH BAGELS; #300; 13435 UNIVERSITY AVE; CLIVE, IA 50325",NET 30 DAYS,,Sarah Chem,CLIVE,
Joe Phillips,50131,515-262-1711,200,200,8385 Birchwood Ct,5 & DINER RESTAURANTS,IA,,"5 & DINER RESTAURANTS; 8385 Birchwood Ct; Johnston, IA 50131",NET 30 DAYS,,,Johnston,
Brian Thompson,50324,,3402,3402,6601 UNIVERSITY AVENUE,4 SEASONS NAILS & SPA,IA,SUITE 102,"4 SEASONS NAILS & SPA; 6601 UNIVERSITY AVENUE; SUITE 102; WINDSOR HEIGHTS, IA 50324",NET 30 DAYS,,James,WINDSOR HEIGHTS,
,50322,(515) 270-8200,1150,1150,2900 JUSTIN DR STE B,ABC HERRINGTON SIGN & DISPLAY,IA,,"ABC HERRINGTON SIGN & DISPLAY; 2900 JUSTIN DR STE B; URBANDALE, IA 50322",NET 30 DAYS,,,URBANDALE,
,50325,(515) 270-6400,1100,1100,PLEASE OBTAIN NEW ADDRESS INFO. 10520 HICKMAN RD STE ABC,"ABC ELECTRICAL CONTRACTORS,",IA,SUITE ABC,"ABC ELECTRICAL CONTRACTORS,; PLEASE OBTAIN NEW ADDRESS INFO. 10520 HICKMAN RD STE ABC; SUITE ABC; DES MOINES, IA 50325",NET 30 DAYS,,,DES MOINES,
,33614,(813) 884-1230,1050,1050,3935 W Hillsborough Ave,"AARON RENTS, INC.",FL,,"AARON RENTS, INC.; 3935 W Hillsborough Ave; Tampa, FL 33614",NET 30 DAYS,,,Tampa,
Mike Ericson,19004,(610) 668-2900,1000,1000,1 Presidential Blvd,"AAMCO TRANSMISSIONS, INC.",PA,,"AAMCO TRANSMISSIONS, INC.; 1 Presidential Blvd; Bala Cynwyd, PA 19004",NET 30 DAYS,,,Bala Cynwyd,
,50320,515-280-6465,2777,2777,3416 SE 14TH,AAMCO TRANSMISSIONS,IA,,"AAMCO TRANSMISSIONS; 3416 SE 14TH; DES MOINES, IA 50320",NET 30 DAYS,,Chris,DES MOINES,
Brian Thompson,78234-5000,,2212,2212,BLDG 4192,AAFES FACILITY MANAGEMENT,TX,FORT SAM,"AAFES FACILITY MANAGEMENT; BLDG 4192; FORT SAM; HOUSTON, TX 78234-5000",NET 30 DAYS,,Charlie,HOUSTON,
Brian Thompson,85707,,950,950,5385 E Madera St,AAFES BUILDING # 4320,AZ,,"AAFES BUILDING # 4320; 5385 E Madera St; DMAFB, AZ 85707",NET 30 DAYS,,,DMAFB,
Mike Ericson,75266-0261,,2548,2548,PO BOX 660261,AAFES ACCOUNTS PAYABLE,TX,,"AAFES ACCOUNTS PAYABLE; PO BOX 660261; DALLAS, TX 75266-0261",NET 30 DAYS,,,DALLAS,
,78234,210-885-3034,3624,3624,BUILDING 4192,AAFES,TX,CHINESE CAMP RD,"AAFES; BUILDING 4192; CHINESE CAMP RD; SAN ANTONIO, TX 78234",NET 30 DAYS,,,SAN ANTONIO,
Joe Phillips,68103-0046,,5137,5137,910 NORTH 96TH ST.,AAA OF NEBRASKA,NE,,"AAA OF NEBRASKA; 910 NORTH 96TH ST.; OMAHA, NE 68103-0046",NET 30 DAYS,,,OMAHA,
,48121,,3653,3653,ATTN: RES INVOICE,AAA,MI,PO BOX 360,"AAA; ATTN: RES INVOICE; PO BOX 360; DEARBORN, MI 48121",NET 30 DAYS,,,DEARBORN,
Joe Phillips,52722,(563) 332-3321 (Over,850,850,2900 AAA COURT,AAA,IA,,"AAA; 2900 AAA COURT; BETTENDORF, IA 52722",NET 30 DAYS,,,BETTENDORF,
Kent Reed,50315,515-777-8592,3664,3664,710 E. ARMY POST RD,A1 CABINETS,IA,,"A1 CABINETS; 710 E. ARMY POST RD; DES MOINES, IA 50315",NET 30 DAYS,,Wen Lin,DES MOINES,
,55744,(218) 327-3434,750,750,804 Lily Ln,"A.S.V., INC.",MI,,"A.S.V., INC.; 804 Lily Ln; Grand Rapids, MI 55744",NET 30 DAYS,,,Grand Rapids,
,50321,,700,700,5034 Park Ave,A.R.K. INVESTMENTS,IA,,"A.R.K. INVESTMENTS; 5034 Park Ave; Des Moines, IA 50321",NET 30 DAYS,,,Des Moines,
,50111,(515) 986-3848,650,650,11125 NW 54th Ave Ste F,"A.O.I. OF DES MOINES, INC.",IA,,"A.O.I. OF DES MOINES, INC.; 11125 NW 54th Ave Ste F; Grimes, IA 50111",NET 30 DAYS,,,Grimes,
Jeff Fye,50022,,5931,5931,62180 GREAT RIVER ROAD,"A.M. COHRON & SON, INC.",IA,,"A.M. COHRON & SON, INC.; 62180 GREAT RIVER ROAD; ATLANTIC, IA 50022",NET 30 DAYS,,,ATLANTIC,
,63103,(314) 955-3000,600,600,1 N Jefferson Ave,"A.G. EDWARDS, INC.",MO,,"A.G. EDWARDS, INC.; 1 N Jefferson Ave; St. Louis, MO 63103",NET 30 DAYS,,,St. Louis,
,50316,,550,550,2323 Dixon St,A. LEO PELDS ENGINEERING COMPA,IA,,"A. LEO PELDS ENGINEERING COMPA; 2323 Dixon St; Des Moines, IA 50316",NET 30 DAYS,,,Des Moines,
,50309,515 288 3365,4129,4129,612 E. GRAND AVE.,A-D DISTRIBUTING CO.,IA,,"A-D DISTRIBUTING CO.; 612 E. GRAND AVE.; DES MOINES, IA 50309",NET 30 DAYS,Retailer,,DES MOINES,
,50314,(515) 244-0606,1300,1300,1495 Keo Way,"A-C CONTRACTORS, INC.",IA,,"A-C CONTRACTORS, INC.; 1495 Keo Way; Des Moines, IA 50314",NET 30 DAYS,,,Des Moines,
,66212,(913) 652-0005,800,800,2478 E. EUCLID,A-1 STAFFING,IA,,"A-1 STAFFING; 2478 E. EUCLID; DES MOINES, IA 66212",NET 30 DAYS,,,DES MOINES,
,37056,(615) 457 9500,3630,3630,PO BOX 247,A-1 SIGNS INC.,TN,,"A-1 SIGNS INC.; PO BOX 247; DICKSON, TN 37056",NET 30 DAYS,,,DICKSON,
,50023,515 210 7171,4588,4588,2517 SW 35TH ST.,A-1 MECHANICAL SERVICES,IA,,"A-1 MECHANICAL SERVICES; 2517 SW 35TH ST.; ANKENY, IA 50023",NET 30 DAYS,,,ANKENY,
Joe Phillips,50023,,3496,3496,PO BOX 379,A+ LAWN & LANDSCAPE,IA,6900 NE 14TH STREET,"A+ LAWN & LANDSCAPE; PO BOX 379; 6900 NE 14TH STREET; ANKENY, IA 50023",NET 30 DAYS,,Mark Harpenau,ANKENY,
Brian Thompson,50021,964-5741,3122,3122,1711 SE ORALABOR RD,ACCU-MOLD LLC,IA,,"ACCU-MOLD LLC; 1711 SE ORALABOR RD; ANKENY, IA 50021",NET 30 DAYS,,Richard Harshbarger,ANKENY,
Ryan Wolff,50322,515-205-9039,3980,3980,SUITE 203,ACCOUNTING ASSOCIATES WEST,IA,4725 MERLE HAY RD.,"ACCOUNTING ASSOCIATES WEST; SUITE 203; 4725 MERLE HAY RD.; DES MOINES, IA 50322",NET 30 DAYS,,Mark Baker,DES MOINES,
,50315,515 283 1040,4001,4001,1964 INDIANOLA RD.,ACCOUNTING ASSOCIATES,IA,,"ACCOUNTING ASSOCIATES; 1964 INDIANOLA RD.; DES MOINES, IA 50315",NET 30 DAYS,,,DES MOINES,
Joe Phillips,50322,282-0946,1550,1550,6311 Hickman Rd,ACCOUNTING AND TAX TIME SERVIC,IA,,"ACCOUNTING AND TAX TIME SERVIC; 6311 Hickman Rd; Des Moines, IA 50322",NET 30 DAYS,,,Des Moines,
Joe Phillips,50111,,3420,3420,270 W 1ST STREET,ACCOUNTING & TAX PROFESSIONALS,IA,SUITE K,"ACCOUNTING & TAX PROFESSIONALS; 270 W 1ST STREET; SUITE K; GRIMES, IA 50111",NET 30 DAYS,,Jim McClaflin,GRIMES,
,50111,515-986-5843,2333,2333,250 SW 1ST STREET,ACCOUNTING & TAX PROFESSIONALS,IA,SUITE K,"ACCOUNTING & TAX PROFESSIONALS; 250 SW 1ST STREET; SUITE K; GRIMES, IA 50111",1% 10th of month net eom,,Jim McClaflin,GRIMES,
,75007-1914,(972) 386-6161,1500,1500,4001 INTERNATIONAL PKWY,ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC,TX,,"ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC; 4001 INTERNATIONAL PKWY; CARROLLTON, TX 75007-1914",NET 30 DAYS,,,CARROLLTON,
Jeff Fye,50131,,5534,5534,5105 NW JOHNSTON DR.,ACCO,IA,,"ACCO; 5105 NW JOHNSTON DR.; JOHNSTON, IA 50131",NET 30 DAYS,,,JOHNSTON,
,48277-0125,,1450,1450,PO Box 77000 Dept 77125,ACCIDENT FUND INS CO OF AMERIC,MI,,"ACCIDENT FUND INS CO OF AMERIC; PO Box 77000 Dept 77125; Detroit, MI 48277-0125",NET 30 DAYS,,,Detroit,
,50003,(515) 993-3193,1400,1400,PLEASE GET NEW ADDRESS INFO. 803 MAIN,ACCESS SYSTEMS,IA,,"ACCESS SYSTEMS; PLEASE GET NEW ADDRESS INFO. 803 MAIN; ADEL, IA 50003",NET 30 DAYS,,,ADEL,
,75050,,4848,4848,523 E. ROCK ISLAND,ACCENT GRAPHICS,TX,,"ACCENT GRAPHICS; 523 E. ROCK ISLAND; GRAND PRAIRIE, TX 75050",NET 30 DAYS,,,GRAND PRAIRIE,
Joe Phillips,60606,,1390,1390,205 WEST WACKER,"ACCELERATED REHABILITATION CENTERS, LTD",IL,SUITE 1020,"ACCELERATED REHABILITATION CENTERS, LTD; 205 WEST WACKER; SUITE 1020; CHICAGO, IL 60606",NET 30 DAYS,,Joel Cipowski,CHICAGO,
,50317,773 459 0388,4045,4045,2918 E. UNIVERSITY AVE.,ACCELERATED PHYSICAL THERAPY,IA,,"ACCELERATED PHYSICAL THERAPY; 2918 E. UNIVERSITY AVE.; DES MOINES, IA 50317",NET 30 DAYS,,Mark Smiser,DES MOINES,
,15201,412-781-7735,2809,2809,5600 HARRISON STREET,ACCEL SIGN GROUP,PA,,"ACCEL SIGN GROUP; 5600 HARRISON STREET; PITTSBURGH, PA 15201",NET 30 DAYS,,Jack Harnick,PITTSBURGH,
Mike Ericson,77449,(281) 646-5200,1350,1350,1800 N Mason Rd,"ACADEMY SPORTS & OUTDOORS, L",TX,,"ACADEMY SPORTS & OUTDOORS, L; 1800 N Mason Rd; Katy, TX 77449",NET 30 DAYS,,,Katy,
Joe Phillips,50023,,4832,4832,SUITE 3,ACADEMY OF MARTIAL ARTS,IA,1928 SW 3RD STREET,"ACADEMY OF MARTIAL ARTS; SUITE 3; 1928 SW 3RD STREET; ANKENY, IA 50023",NET 30 DAYS,,,ANKENY,
Mike Ericson,50314,,5963,5963,111 PARK ST.,AC MURPHY,IA,,"AC MURPHY; 111 PARK ST.; DES MOINES, IA 50314",NET 30 DAYS,,,DES MOINES,
Jeff Fye,50021,,6157,6157,1802 SE DELAWARE AVE,ABUNDANT HEALTH MASSAGE & BODYWORKS,IA,SUITE 107,"ABUNDANT HEALTH MASSAGE & BODYWORKS; 1802 SE DELAWARE AVE; SUITE 107; ANKENY, IA 50021",NET 30 DAYS,,,ANKENY,
Kent Reed,50226,,5243,5243,225 E. HICKMAN RD.,ABSOLUTE PERFORMANCE THERAPY,IA,,"ABSOLUTE PERFORMANCE THERAPY; 225 E. HICKMAN RD.; WAUKEE, IA 50226",NET 30 DAYS,,Jason Subbert,WAUKEE,
Joe Phillips,50111,,6426,6426,255 SW BROOKSIDE DRIVE,ABSOLUTE PERFORMANCE THERAPY,IA,SUITE 300 - 400,"ABSOLUTE PERFORMANCE THERAPY; 255 SW BROOKSIDE DRIVE; SUITE 300 - 400; GRIMES, IA 50111",NET 30 DAYS,,Alyssa Subbert,GRIMES,
,25309,(304)-744-0400,1250,1250,1133-D Jefferson Plaza Rd,ABSOLUTE HOLDINGS,WV,,"ABSOLUTE HOLDINGS; 1133-D Jefferson Plaza Rd; South Charleston, WV 25309",NET 30 DAYS,,,South Charleston,
,50265,515 971 1882,4839,4839,618 17TH STREET,ABSOLUTE HEATING & COOLING,IA,,"ABSOLUTE HEATING & COOLING; 618 17TH STREET; WEST DES MOINES, IA 50265",NET 30 DAYS,,,WEST DES MOINES,
,55430,(763) 561-7220,1200,1200,6001 Shingle Creek Pkwy,ABRA AUTO BODY & GLASS,MN,,"ABRA AUTO BODY & GLASS; 6001 Shingle Creek Pkwy; Brooklyn Center, MN 55430",NET 30 DAYS,,,Brooklyn Center,
,80216,,3472,3472,PO BOX 16601,"ABR HOLDINGS, LLC",CO,,"ABR HOLDINGS, LLC; PO BOX 16601; DENVER, CO 80216",NET 30 DAYS,,,DENVER,
Joe Phillips,50321,,4537,4537,5880 FLEUR DRIVE,ABM PARKING SERVICES,IA,,"ABM PARKING SERVICES; 5880 FLEUR DRIVE; DES MOINES, IA 50321",NET 30 DAYS,,,DES MOINES,
Joe Phillips,50131,,5110,5110,5138 MERLE HAY RD,ACURA OF JOHNSTON,IA,,"ACURA OF JOHNSTON; 5138 MERLE HAY RD; JOHNSTON, IA 50131",NET 30 DAYS,,Audrey Lewis,JOHNSTON,
,50131,515 867 2900,5027,5027,"8711 WINDSOR PKWY, # 7",ACTIVE WELLNESSS CHIROPRACTIC,IA,,"ACTIVE WELLNESSS CHIROPRACTIC; 8711 WINDSOR PKWY, # 7; JOHNSTON, IA 50131",NET 30 DAYS,,,JOHNSTON,
,50313,(515) 263-0986,2000,2000,1701 E Euclid,"ACTION WAREHOUSE CO., LTD",IA,,"ACTION WAREHOUSE CO., LTD; 1701 E Euclid; Des Moines, IA 50313",NET 30 DAYS,,,Des Moines,
Brian Thompson,19014,610-558-9773,2960,2960,525 TURNER INDUSTRIAL WAY,ACTION SERVICES GROUP,PA,,"ACTION SERVICES GROUP; 525 TURNER INDUSTRIAL WAY; ASTON, PA 19014",NET 30 DAYS,,,ASTON,
,43612,419-478-5756,1950,1950,444 Laskey Rd,ACTION SCALE,OH,,"ACTION SCALE; 444 Laskey Rd; Toledo, OH 43612",NET 30 DAYS,,,Toledo,
,41653,888-867-1887,1900,1900,1392 Water Gap Rd,ACTION OUTDOOR SIGNS,KY,,"ACTION OUTDOOR SIGNS; 1392 Water Gap Rd; Prestonsburg, KY 41653",NET 30 DAYS,,,Prestonsburg,
,50310,515-279-4070,1870,1870,5601 DOUGLAS AVENUE,ACTION ACCENTS,IA,,"ACTION ACCENTS; 5601 DOUGLAS AVENUE; DES MOINES, IA 50310",NET 30 DAYS,,Lynda Kiehne,DES MOINES,
Rich Thompson,52303,319 377 6357,4933,4933,PO BOX 160,"ACTERRA GROUP,INC",IA,220 35TH,"ACTERRA GROUP,INC; PO BOX 160; 220 35TH; MARION, IA 52303",NET 30 DAYS,,,MARION,
,50111,515 986 9626,5085,5085,2120 SE 44TH CT.,ACTERRA GROUP,IA,,"ACTERRA GROUP; 2120 SE 44TH CT.; GRIMES, IA 50111",NET 30 DAYS,,Vicki,GRIMES,
,33014,(305) 362-3333,1850,1850,540 W 83rd ST,ACOLITE & CLAUDE UNITED SIGN,FL,,"ACOLITE & CLAUDE UNITED SIGN; 540 W 83rd ST; Miami, FL 33014",NET 30 DAYS,,,Miami,
,64116,816 842 8980,4430,4430,1313 VERNON,ACME SIGN INC.,MO,,"ACME SIGN INC.; 1313 VERNON; NORTH KANSAS CITY, MO 64116",NET 30 DAYS,,,NORTH KANSAS CITY,
Brian Thompson,58203,701-746-2854,1800,1800,1603 12TH AVE N,ACME ELECTRIC,ND,,"ACME ELECTRIC; 1603 12TH AVE N; GRAND FORKS, ND 58203",NET 30 DAYS,,John Bredemeier,GRAND FORKS,
Brian Thompson,58203,800-732-4287,2751,2751,1603 12TH AVENUE NORTH,ACME ELECTRIC,ND,,"ACME ELECTRIC; 1603 12TH AVENUE NORTH; GRAND FORKS, ND 58203",NET 30 DAYS,,John Bredemeier,GRAND FORKS,
